819827	Razvilka	55.591667	37.740833	RU
524901	Moscow	55.752220	37.615555	RU
1271881	Firozpur Jhirka	27.799999	76.949997	IN
1283240	Kathmandu	27.716667	85.316666	NP
703448	Kiev	50.433334	30.516666	UA
1282898	Pokhara	28.233334	83.983330	NP
3632308	Merida	8.598333	-71.144997	VE
1273294	Delhi	28.666668	77.216667	IN
502069	Reshetnikovo	56.450001	36.566666	RU
3645532	Ciudad Bolivar	8.122222	-63.549721	VE
529368	Marfino	55.702778	37.382221	RU
462755	Zhukovskiy	55.595280	38.120277	RU
502018	Reutov	55.759445	37.861668	RU
538601	Kurovskoye	55.578335	38.910831	RU
463355	Zheleznodorozhnyy	55.750278	38.004166	RU
560756	Golitsyno	55.612221	36.983334	RU
509820	Petrozavodsk	61.784912	34.346909	RU
498817	Saint Petersburg	59.894444	30.264168	RU
547560	Klimovsk	55.364723	37.525002	RU
1496747	Novosibirsk	55.041111	82.934441	RU
709717	Donetsk	48.000000	37.799999	UA
555746	Istra	55.917778	36.864166	RU
712969	Bakhchysaray	44.750000	33.866669	UA
569591	Chekhov	55.143055	37.471111	RU
532477	Lyubuchany	55.251110	37.545555	RU
471457	Vostryakovo	55.400555	37.811111	RU
711660	Boryspil	50.349998	30.950001	UA
564719	Dubna	56.733334	37.166668	RU
564912	Druzhba	55.885555	37.740276	RU
571557	Bronnitsy	55.419445	38.270832	RU
563705	Dzerzhinskiy	55.628613	37.846943	RU
532657	Lytkarino	55.581390	37.905834	RU
523812	Mytishchi	55.908890	37.733891	RU
503977	Pushkino	56.017223	37.866669	RU
505597	Pravdinskiy	56.066666	37.849998	RU
463826	Zelenogradskiy	56.099998	37.916668	RU
580597	Ashukino	56.160000	37.950001	RU
549373	Khotkovo	56.256989	37.995441	RU
497165	Semkhoz	56.283333	38.066666	RU
496638	Sergiyev Posad	56.299999	38.133331	RU
580881	Arsaki	56.380001	38.480000	RU
487095	Strunino	56.383331	38.566666	RU
583350	Aleksandrov	56.400002	38.709999	RU
552977	Karabanovo	56.316666	38.700001	RU
548278	Kirzhach    56.150002	38.866669	RU
515024	Orekhovo-Zuyevo	55.810833	38.971943	RU
535243	Likino-Dulevo	55.711666	38.954445	RU
566950	Davydovo	55.609722	38.856945	RU
557132	Ilinskiy Pogost	55.477222	38.911945	RU
468250	Yegoryevsk	55.378334	39.041111	RU
562445	Fosforitnyy	55.326111	38.900002	RU
549531	Khorlovo	55.335278	38.813057	RU
534174	Lopatinskiy	55.340557	38.725555	RU
531098	Malino	55.111111	38.180000	RU
526652	Mikhnevo	55.127220	37.952221	RU
526651	Mikhnevo	55.134724	37.944721	RU
487441	Stolbovaya	55.252777	37.485279	RU
540030	Kubinka	55.583889	36.689999	RU
505824	Povarovo	56.066666	37.049999	RU
557382	Iksha	56.166668	37.516666	RU
565955	Dmitrov	56.349998	37.516666	RU
492333	Skoropuskovskiy	56.366669	38.166668	RU
529638	Mamontovka	55.999443	37.814167	RU
